x	y1	y2	y3	y4	y5
0.39	0.043908816	0.257528844	0.369727684	0.481926524	0.695546552
0.4	0.040361886	0.253795767	0.36827014	0.482744513	0.696178395
0.41	0.037046843	0.250073919	0.366781662	0.483489406	0.696516482
0.42	0.033953838	0.246364359	0.365262673	0.484160986	0.696571508
0.43	0.031072941	0.242668129	0.3637136	0.484759072	0.69635426
0.44	0.028394202	0.238986247	0.362134882	0.485283518	0.695875563
0.45	0.025907698	0.235319713	0.360526962	0.485734212	0.695146227
0.46	0.023603582	0.231669504	0.358890291	0.486111078	0.694177
0.47	0.021472128	0.228036579	0.357225325	0.486414072	0.692978523
0.48	0.019503768	0.224421871	0.355532529	0.486643186	0.691561289
0.49	0.017689129	0.220826294	0.35381237	0.486798447	0.689935612
0.5	0.016019065	0.217250739	0.352065327	0.486879915	0.688111588
0.51	0.014484683	0.213696073	0.350291879	0.486887685	0.686099074
0.52	0.013077367	0.210163141	0.348492513	0.486821885	0.683907658
0.53	0.011788798	0.206652765	0.346667721	0.486682678	0.681546644
0.54	0.01061097	0.203165743	0.344818001	0.48647026	0.679025032
0.55	0.009536204	0.199702851	0.342943855	0.486184859	0.676351506
0.56	0.008557154	0.196264839	0.341045789	0.485826739	0.673534424
0.57	0.007666817	0.192852434	0.339124313	0.485396193	0.67058181
0.58	0.006858536	0.189466339	0.337179944	0.484893548	0.667501352
0.59	0.006125999	0.186107234	0.335213199	0.484319165	0.6643004
0.6	0.005463241	0.182775773	0.333224603	0.483673433	0.660985964
0.61	0.004864637	0.179472585	0.33121468	0.482956775	0.657564724
0.62	0.004324897	0.176198278	0.329183961	0.482169643	0.654043024
0.63	0.003839064	0.172953433	0.327132977	0.481312521	0.65042689
0.64	0.003402497	0.169738607	0.325062264	0.480385921	0.646722031
0.65	0.00301087	0.166554334	0.32297236	0.479390386	0.64293385
0.66	0.002660154	0.163401121	0.320863804	0.478326487	0.639067453
0.67	0.002346612	0.160279453	0.318737138	0.477194824	0.635127665
0.68	0.002066779	0.157189791	0.316592908	0.475996024	0.631119036
0.69	0.001817458	0.154132571	0.314431657	0.474730743	0.627045856
0.7	0.001595699	0.151108204	0.312253933	0.473399662	0.622912168
0.71	0.001398792	0.148117081	0.310060285	0.472003489	0.618721778
0.72	0.001224248	0.145159564	0.30785126	0.470542957	0.614478273
0.73	0.001069792	0.142235997	0.30562741	0.469018823	0.610185028
0.74	0.000933344	0.139346696	0.303389284	0.467431871	0.605845224
0.75	0.00081301	0.136491958	0.301137432	0.465782906	0.601461855
0.76	0.000707067	0.133672054	0.298872406	0.464072758	0.597037745
0.77	0.000613953	0.130887234	0.296594755	0.462302276	0.592575557
0.78	0.000532254	0.128137724	0.29430503	0.460472335	0.588077806
0.79	0.000460692	0.125423732	0.29200378	0.458583827	0.583546867
0.8	0.000398116	0.122745439	0.289691553	0.456637667	0.578984989
0.81	0.000343491	0.120103007	0.287368897	0.454634787	0.574394303
0.82	0.000295888	0.117496578	0.285036358	0.452576139	0.569776829
0.83	0.000254474	0.114926271	0.282694482	0.450462693	0.56513449
0.84	0.000218507	0.112392185	0.280343811	0.448295437	0.560469115
0.85	0.000187322	0.109894399	0.277984886	0.446075373	0.55578245
0.86	0.000160331	0.107432973	0.275618247	0.443803522	0.551076163
0.87	0.000137009	0.105007945	0.273244431	0.441480917	0.546351853
0.88	0.00011689	0.102619337	0.270863972	0.439108606	0.541611053
0.89	9.96E-05	0.100267151	0.268477402	0.436687653	0.536855237
0.9	8.47E-05	0.097951369	0.26608525	0.434219131	0.532085827
0.91	7.19E-05	0.095671957	0.263688042	0.431704127	0.527304193
0.92	6.09E-05	0.093428864	0.261286301	0.429143739	0.522511662
